,total_demand
2023-12-31,10674523
2023-12-30,10821410
2023-12-29,11084647
2023-12-28,10907167
2023-12-27,10674973
2023-12-26,10343865
2023-12-25,9615042
2023-12-24,9762219
2023-12-23,10181733
2023-12-22,10870285
2023-12-21,11357811
2023-12-20,11741925
2023-12-19,11953896
2023-12-18,11324843
2023-12-17,10386023
2023-12-16,10501540
2023-12-15,11114065
2023-12-14,11343308
2023-12-13,11420225
2023-12-12,11538087
2023-12-11,11492941
2023-12-10,10340024
2023-12-09,10077066
2023-12-08,10676745
2023-12-07,11209022
2023-12-06,11180718
2023-12-05,10955827
2023-12-04,10742142
2023-12-03,9988233
2023-12-02,10036070
2023-12-01,10747129
2023-11-30,11167214
2023-11-29,11849863
2023-11-28,11878750
2023-11-27,11470909
2023-11-26,10504471
2023-11-25,10223604
2023-11-24,9955384
2023-11-23,9761866
2023-11-22,10557676
2023-11-21,10680129
2023-11-20,10577611
2023-11-19,9734824
2023-11-18,9647115
2023-11-17,10069430
2023-11-16,10134340
2023-11-15,10330825
2023-11-14,10388270
2023-11-13,10385700
2023-11-12,9733244
2023-11-11,9818343
2023-11-10,10205511
2023-11-09,10271898
2023-11-08,10361747
2023-11-07,10248053
2023-11-06,10030341
2023-11-05,9540107
2023-11-04,9579700
2023-11-03,10376864
2023-11-02,10818951
2023-11-01,10558905
2023-10-31,10600869
2023-10-30,10560374
2023-10-29,9844247
2023-10-28,9894060
2023-10-27,10434958
2023-10-26,10469021
2023-10-25,10390099
2023-10-24,10403331
2023-10-23,10318769
2023-10-22,9458408
2023-10-21,9563312
2023-10-20,10123689
2023-10-19,10147055
2023-10-18,10052805
2023-10-17,9967766
2023-10-16,9901741
2023-10-15,9182876
2023-10-14,9427836
2023-10-13,10231961
2023-10-12,10251329
2023-10-11,10148898
2023-10-10,10202234
2023-10-09,10003722
2023-10-08,9264618
2023-10-07,9618759
2023-10-06,10731912
2023-10-05,10958968
2023-10-04,11353275
2023-10-03,11269785
2023-10-02,11236966
2023-10-01,10561272
2023-09-30,10749707
2023-09-29,11237932
2023-09-28,11137276
2023-09-27,11115470
2023-09-26,11314208
2023-09-25,11338141
2023-09-24,10616457
2023-09-23,10623212
2023-09-22,11210050
2023-09-21,11396662
2023-09-20,11267253
2023-09-19,11118049
2023-09-18,11204103
2023-09-17,10481770
2023-09-16,10496557
2023-09-15,11113060
2023-09-14,11473471
2023-09-13,11827256
2023-09-12,12115676
2023-09-11,12317019
