date,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
2023-12-31,1870097,4270620,2245684,7293,221858,305983,632266,1074159
2023-12-30,1964710,4369981,2215492,7661,224151,322528,628762,1064144
2023-12-29,1948705,4482785,2228321,8311,216563,312185,718066,1109628
2023-12-28,1776641,4480968,2224448,9639,209483,309365,701614,1119395
2023-12-27,1679634,4397551,2215389,8236,218310,262265,723729,1093226
2023-12-26,1627411,4182176,2227780,8105,209822,244100,697600,1042858
2023-12-25,1368523,3422952,2213162,7849,195190,261168,614075,1472143
2023-12-24,1352543,3388343,2210527,8059,216007,239702,651733,1662857
2023-12-23,1525246,3832471,2231976,8693,213763,215859,631363,1462387
2023-12-22,1980155,4759699,2222347,9587,220921,176932,676150,693441
2023-12-21,2105966,4843847,2238891,8277,219925,226693,661486,935263
2023-12-20,2172928,4793373,2225271,10767,225989,250034,688592,1298356
2023-12-19,2136276,4668018,2196848,8663,212352,272519,683358,1713817
2023-12-18,1971742,4582804,2207665,6241,202632,304773,654859,1325975
2023-12-17,1758786,4212359,2190374,5309,200434,248642,605495,1125677
2023-12-16,1833092,4310982,2141865,6952,210450,285682,609419,1054470
2023-12-15,1947140,4711126,2182903,12852,208987,296716,663605,1014585
2023-12-14,1966272,4716258,2215313,10894,212605,287687,677762,1280292
2023-12-13,2142857,4826811,2214804,10446,207415,255117,693142,1112513
2023-12-12,2122030,4857500,2228112,11894,204378,316635,690244,1126899
2023-12-11,2115498,5048076,2212048,9133,201834,337969,658876,954481
2023-12-10,1758564,4241941,2213835,8274,209189,277478,538059,1135502
2023-12-09,1425607,3544286,2220954,8007,204384,302981,539085,1908785
2023-12-08,1647986,3951326,2262376,9378,205692,289081,578368,1771446
2023-12-07,1756944,4142559,2274760,9019,218738,305698,581667,1963765
2023-12-06,1841018,4490969,2270156,9330,206133,345397,585871,1474400
2023-12-05,1999554,4834104,2252981,9369,212582,340115,546621,821742
2023-12-04,1915588,4637731,2251502,8723,208025,304218,535860,927835
2023-12-03,1681467,3938232,2265363,8607,216515,240888,492407,1225790
2023-12-02,1752972,4078648,2273331,8339,209473,215269,485459,1122659
2023-12-01,1912338,4680721,2267896,8613,202514,258061,572675,922915
2023-11-30,1877716,4480190,2258252,10145,220080,248353,621626,1456250
2023-11-29,2000385,4841305,2267269,16404,241927,329328,651363,1395247
2023-11-28,2054009,5046033,2256055,7206,241206,345216,669003,1179383
2023-11-27,1990175,4921434,2241688,8355,214436,320077,662651,1063395
2023-11-26,1692597,4151366,2238756,8024,212081,246705,605467,1326583
2023-11-25,1872314,4318536,2239981,8417,213551,305668,621630,600321
2023-11-24,1664167,3922536,2241846,7043,218538,302812,607288,951494
2023-11-23,1435781,3542508,2240948,5773,207977,310539,544371,1457911
2023-11-22,1715965,4361346,2223483,5179,216404,316638,618728,1068908
2023-11-21,1648272,4079458,2197345,6987,212258,245183,623001,1631914
2023-11-20,1636358,3925442,2180037,14666,205061,299520,639705,1641119
2023-11-19,1555442,3457313,2165283,5340,185042,334255,528611,1477769
2023-11-18,1670631,3960145,2148527,6441,185584,304698,537759,775983
2023-11-17,1732983,4162035,2112320,5799,188811,285666,609054,916285
2023-11-16,1547071,3822601,2032238,11196,192776,237488,599351,1629756
2023-11-15,1813204,4436514,2052727,8132,217866,217682,624008,903222
2023-11-14,1646180,4338802,2013274,6227,281767,297720,607949,1185871
2023-11-13,1754426,4489655,1964438,6467,211009,266390,621001,944503
2023-11-12,1640665,4016343,1948085,4932,205174,292045,567837,977382
2023-11-11,1628459,4124207,1924933,5046,207974,279644,523241,1049058
2023-11-10,1839014,4339066,1932039,6065,216250,273151,562980,775888
2023-11-09,1644224,4072874,1952453,4747,200220,296567,566479,1290134
2023-11-08,1530465,4085000,1943003,4410,195125,389561,561333,1581380
2023-11-07,1621504,3832656,1940819,5371,210289,396272,525063,1619051
2023-11-06,1633716,3712863,1932906,5488,213136,391192,547157,1483357
2023-11-05,1598036,3528037,1963479,3483,203128,366130,499720,1312655
2023-11-04,1834260,3797769,1932887,3056,186891,419400,522427,809598
2023-11-03,1874121,3851661,1951361,2959,210062,432879,563413,1384519
2023-11-02,1993574,4132163,1959600,4524,225272,458490,569694,1332129
2023-11-01,2026931,4148954,1897200,3415,175658,427616,603151,1173502
2023-10-31,2005647,4356611,1898293,3660,143214,404659,553741,1074772
2023-10-30,1921132,4317719,1877359,4718,211759,383803,550661,1165076
2023-10-29,1720969,3672383,1867521,5440,210961,322501,476779,1432974
2023-10-28,1829438,4007570,1868084,6218,213216,365020,464578,972032
2023-10-27,1702829,4236217,1869417,6749,198836,358197,506527,1405619
2023-10-26,1724604,4262606,1849143,11006,143222,374384,519215,1376790
2023-10-25,1808223,4421667,1818824,8296,144119,364870,552912,1099753
2023-10-24,1640137,4206180,1879166,7441,205138,385958,530556,1506240
2023-10-23,1582519,4065477,1888358,8322,193781,379945,503132,1632801
2023-10-22,1502115,3734405,1862662,6265,177079,384922,413162,1336841
2023-10-21,1478160,3757600,1867294,6041,172615,430874,470432,1326791
2023-10-20,1791505,4361994,1918257,11123,193377,445339,515262,810603
2023-10-19,1756050,4340253,1938883,11041,200743,455535,508668,830970
2023-10-18,1534369,3915972,1961908,10742,197702,471813,517575,1351673
2023-10-17,1635553,4065502,1970858,10807,190869,489379,511276,1039143
2023-10-16,1718451,4424141,1967344,11963,198826,462031,513177,538628
2023-10-15,1382107,3702245,1975199,7394,192957,423746,432308,994173
2023-10-14,1428242,3825089,1955611,9720,242459,337239,459899,1099007
2023-10-13,1511532,4126617,1942855,11608,289731,382714,505558,1414729
2023-10-12,1475614,3978901,2004484,12396,255116,368170,514083,1594868
2023-10-11,1557347,3936172,2031508,9077,221601,359452,500484,1436382
2023-10-10,1717677,4184792,2028700,10113,220355,433728,520705,1007202
2023-10-09,1763480,4155965,2022359,8560,220845,467662,522749,741393
2023-10-08,1498379,3625730,2046322,8486,218802,489019,470674,816629
2023-10-07,1574735,3903199,2079221,9963,239225,477640,485132,768906
2023-10-06,1741127,4430203,2112082,16096,255079,439062,547136,1127587
2023-10-05,1897110,4665624,2123235,12120,257926,425962,548269,984315
2023-10-04,1988442,4904930,2115244,14782,259697,450184,541471,1034676
2023-10-03,1847492,4701991,2112856,14164,253920,461213,511635,1314161
2023-10-02,1799730,4704111,2097000,13162,257083,468945,524193,1315700
2023-10-01,1653433,4268855,2093465,8871,255085,436249,499089,1314466
2023-09-30,1678367,4385062,2094605,11817,235097,397127,533831,1385708
2023-09-29,1700283,4663896,2150785,13251,249353,463566,576322,1372996
2023-09-28,1719960,4682482,2173692,11169,246682,456329,555525,1238912
2023-09-27,1871664,4927322,2177129,10568,243675,406738,549944,864722
2023-09-26,1945610,5203809,2163529,11149,259486,470982,572898,680928
2023-09-25,2050869,5217321,2163087,13036,239556,466243,580679,533834
2023-09-24,1818527,4544723,2173705,10114,237804,512648,523944,730475
2023-09-23,1714915,4392387,2160009,10383,228685,462845,509872,1114349
2023-09-22,1846574,4758029,2174418,10623,240537,452810,585949,1096815
2023-09-21,1939924,4829570,2176168,9761,244330,466244,600649,1076923
2023-09-20,1924539,4800030,2180700,9320,235573,493813,604528,939204
2023-09-19,1773598,4468988,2186082,8310,226108,525186,573246,1284140
2023-09-18,1745083,4629261,2186067,7959,238987,525806,569053,1230372
2023-09-17,1819763,4635339,2183700,8086,235282,480510,524600,547317
2023-09-16,1872256,4731959,2149712,9554,233517,487539,534624,410339
2023-09-15,1998010,5025675,2201222,9134,247031,490436,587064,464803
2023-09-14,2060287,5117511,2215456,9555,246024,480470,597395,662305
2023-09-13,2193538,5421786,2211252,13586,247696,439713,600086,598259
2023-09-12,2265721,5662502,2201939,12228,245223,411710,618639,581120
2023-09-11,2256590,5760585,2146681,10918,291712,431330,608300,705512
2023-09-10,2122543,5288827,2116087,8818,305808,421065,556035,709008
2023-09-09,2116088,5485770,2201414,9405,273366,495313,564642,637097
2023-09-08,2302929,5918606,2250247,17631,255207,523838,627152,783105
2023-09-07,2503585,6205328,2225230,31460,287167,543461,651124,859918
2023-09-06,2672997,6240008,2219322,43524,285463,565265,657881,947031
2023-09-05,2582175,6030461,2223260,21767,296403,555811,682190,1396610
2023-09-04,2294840,5134616,2226089,11333,265004,552211,620191,1737120
2023-09-03,2227026,4957617,2225746,9141,237418,524713,601283,1339360
2023-09-02,2146465,4821051,2236586,8436,236683,467613,613692,1097194
2023-09-01,2134260,5030520,2268405,8633,251616,457390,652975,1138245
2023-08-31,2145136,5248963,2273871,9093,256336,526314,715123,1061451
2023-08-30,2302576,5731239,2269737,12285,261594,498428,719359,820525
2023-08-29,2547958,5997508,2261390,13923,247438,520218,704904,660162
2023-08-28,2540662,6172205,2251234,11251,267558,512500,730094,380010
2023-08-27,2468940,5818632,2246692,10719,272375,519855,654691,497301
2023-08-26,2634149,6024970,2246428,11931,291632,520655,687366,746843
2023-08-25,2879675,6541528,2243260,20368,285710,550959,714522,806970
2023-08-24,2963606,6569733,2237751,15525,269275,534389,720210,794663
2023-08-23,2876010,6331411,2237555,12984,289835,539099,696073,990381
2023-08-22,2878886,6294831,2257843,19023,284775,505376,697406,916191
2023-08-21,2879525,6462990,2267193,28707,284693,474530,724079,880495
2023-08-20,2638938,5743755,2270812,15247,263769,404806,694955,889879
2023-08-19,2319138,5163434,2273965,12532,254815,486537,727065,1196935
2023-08-18,2325857,5567662,2292764,10953,256703,551582,767781,1257504
2023-08-17,2487693,5949046,2299780,11341,262335,534415,814836,948965
2023-08-16,2495082,5962636,2290032,13617,269454,517135,815276,869748
2023-08-15,2660198,6341452,2268009,15800,276873,514055,802435,510841
2023-08-14,2616226,6216818,2244930,14255,288772,513284,792520,1004931
2023-08-13,2458572,5921012,2240547,13132,298214,543544,716083,938266
2023-08-12,2544015,5855661,2245157,14319,294393,559122,721779,973534
2023-08-11,2626043,5991801,2249075,18638,281971,547369,769616,1114685
2023-08-10,2570477,6098256,2271724,21276,279325,487957,767398,946424
2023-08-09,2545939,6013385,2293385,26453,278950,531251,726120,965683
2023-08-08,2517737,6034543,2292799,18749,281826,547089,716895,895917
2023-08-07,2542077,6216005,2289749,19123,277274,557766,697029,836224
2023-08-06,2339768,5610779,2260895,12319,285915,562546,635299,1060913
2023-08-05,2374569,5682336,2225528,12532,282521,577557,678845,1106128
2023-08-04,2621036,6182197,2241021,18929,271875,540393,705144,811063
2023-08-03,2647150,6118958,2236636,17962,262596,549294,674258,855247
2023-08-02,2671130,5991138,2221063,15864,252790,559999,692941,912682
2023-08-01,2659523,5963233,2233471,13172,257440,524780,732549,945669
2023-07-31,2682420,6075848,2233669,11616,279331,514428,747535,860318
2023-07-30,2612804,5680921,2271375,10206,281383,529183,658583,789203
2023-07-29,2696798,6136696,2274656,19585,292045,531737,685157,881658
2023-07-28,2932406,6655980,2269395,37210,295237,546683,752995,1049663
2023-07-27,2944824,6658612,2263587,50561,290277,578324,765303,1148422
2023-07-26,2825700,6460666,2261721,24089,294005,575654,775968,1127119
2023-07-25,2718899,6279889,2257638,17308,305589,558130,741518,1242325
2023-07-24,2644539,6240576,2259840,14578,281629,554790,739057,977113
2023-07-23,2483785,5708522,2258411,15807,254231,489889,749288,650279
2023-07-22,2557402,5828751,2254495,13979,259926,523057,747148,463936
2023-07-21,2721497,6163724,2268698,14986,276061,584820,787573,690348
2023-07-20,2763130,6398291,2263049,14171,289109,577458,783543,936650
2023-07-19,2687983,6235752,2256868,26967,278029,548852,743886,1028410
2023-07-18,2583247,6186579,2260199,18329,275607,545734,733023,1183776
2023-07-17,2565022,6257415,2267401,21520,267762,535282,736516,1006909
2023-07-16,2409098,5878116,2267267,12367,259822,508946,716578,816807
2023-07-15,2565063,6081634,2258937,13781,270819,529820,752304,753818
2023-07-14,2676123,6389228,2251877,16773,273701,545149,786155,942019
2023-07-13,2752240,6371029,2256844,36602,272220,569019,785134,1006326
2023-07-12,2556752,6082966,2260327,34965,255611,579332,790757,1178643
2023-07-11,2532655,5873949,2270812,17662,247275,580170,777172,1079130
2023-07-10,2452624,5726949,2276511,12456,250076,544924,727190,1003239
2023-07-09,2237574,5256615,2288395,11883,243183,553976,629770,801039
2023-07-08,2254701,5434240,2276637,13502,255609,551708,648415,782099
2023-07-07,2448875,5671179,2273728,14433,278506,561675,740804,968988
2023-07-06,2622225,6012098,2274129,23819,266139,564833,751802,791478
2023-07-05,2596796,6032375,2274987,27542,269749,560264,760712,947452
2023-07-04,2425368,5433147,2275091,12540,262515,577197,713860,988114
2023-07-03,2501395,5955066,2271505,14314,260810,567963,748777,655539
2023-07-02,2420615,5621507,2254133,10982,272404,558565,710187,515373
2023-07-01,2397450,5540191,2241639,10473,261549,541539,720782,711440
2023-06-30,2524374,5906317,2239026,14792,268332,560715,798933,906513
2023-06-29,2422370,5670686,2207662,30156,268300,578958,776283,1153027
2023-06-28,2314414,5384800,2183426,27218,255127,587923,744103,1367715
2023-06-27,2243723,5330799,2184597,25677,247264,587670,756279,1248598
2023-06-26,2174033,5535334,2178476,25783,248179,584658,791062,1186101
